,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,NormalisedNumInqLast6Mexcl7days,NormalisedNumInstallTradesWBalance
18,0,85,278,13,104,23,0,0,100.0,-7,7,8,23,0,35,5,1,1,42,69,1,3,0,44,0.047619047619047616,0.4074074074074074
19,1,57,171,2,50,16,1,1,89.0,9,4,2,19,3,21,0,4,4,49,79,9,3,2,71,0.19047619047619047,0.4074074074074074
20,0,69,142,3,74,47,0,0,100.0,-7,7,8,47,1,32,0,7,7,32,80,15,4,1,71,0.3333333333333333,0.4444444444444444
21,1,69,118,2,42,20,1,0,91.0,27,6,5,22,7,23,-7,4,4,14,-8,4,1,0,55,0.19047619047619047,0.3333333333333333
22,0,87,302,14,151,20,0,0,100.0,-7,7,8,20,0,30,0,0,0,18,-8,3,2,0,50,0.0,0.37037037037037035
23,1,72,118,4,55,14,0,0,100.0,-7,7,8,14,2,36,-7,1,1,76,-8,6,-8,3,75,0.047619047619047616,0.0
24,0,78,342,6,95,25,0,0,100.0,-7,7,8,25,3,36,16,0,0,44,97,5,3,1,67,0.0,0.4074074074074074
25,1,57,129,4,63,32,0,0,84.0,23,6,6,32,5,31,0,3,3,82,73,4,4,3,73,0.14285714285714285,0.4444444444444444
26,1,86,74,46,60,2,0,0,100.0,-7,7,8,2,0,50,0,0,0,-8,-8,0,-8,-8,0,0.0,0.0
27,1,61,457,7,97,27,1,0,89.0,6,4,5,28,1,21,0,2,2,55,77,12,2,5,78,0.09523809523809523,0.37037037037037035
28,1,69,172,1,63,13,1,0,87.0,41,6,5,15,3,40,0,0,0,80,-8,3,1,2,50,0.0,0.3333333333333333
29,1,81,329,12,111,19,0,0,95.0,1,4,6,20,0,55,0,0,0,1,86,2,4,0,67,0.0,0.4444444444444444
30,0,65,29,9,18,10,0,0,100.0,-7,7,8,10,3,40,0,5,5,38,68,5,3,0,89,0.23809523809523808,0.4074074074074074
31,1,68,319,2,127,26,0,0,93.0,20,6,6,28,2,29,0,0,0,29,47,9,4,2,62,0.0,0.4444444444444444
32,1,70,303,1,69,37,0,0,100.0,-7,7,8,40,3,53,2,1,1,49,82,10,6,0,94,0.047619047619047616,0.5185185185185185
33,0,66,173,8,58,17,2,1,85.0,2,0,2,20,4,45,0,0,0,7,68,3,2,0,75,0.0,0.37037037037037035
34,1,84,325,2,107,13,0,0,100.0,-7,7,8,14,2,29,1,1,1,19,98,4,3,0,70,0.047619047619047616,0.4074074074074074
35,0,76,98,11,50,15,0,0,100.0,-7,7,8,15,2,27,0,0,0,42,60,2,2,1,63,0.0,0.37037037037037035
36,1,77,31,31,31,1,0,0,100.0,-7,7,8,1,0,0,0,6,6,-8,-8,-8,-8,-8,-8,0.2857142857142857,0.0
37,1,56,23,7,15,6,0,0,100.0,-7,7,8,6,2,33,0,11,11,95,-8,3,1,1,100,0.5238095238095237,0.3333333333333333
38,0,87,196,30,117,19,0,0,100.0,-7,7,8,20,0,30,0,0,0,7,-8,5,-8,-8,71,0.0,0.0
39,1,65,37,5,20,16,0,0,100.0,-7,7,8,16,5,44,0,0,0,58,84,1,3,1,71,0.0,0.4074074074074074
40,1,70,43,4,21,11,0,0,100.0,-7,7,8,13,4,38,0,3,3,64,98,4,3,1,88,0.14285714285714285,0.4074074074074074
41,1,71,183,3,96,11,1,1,100.0,-7,7,8,13,2,0,0,0,0,0,-8,0,-8,0,0,0.0,0.0
42,1,59,-8,41,90,4,2,0,50.0,9,3,5,6,0,83,13,0,0,16,-8,1,1,0,100,0.0,0.3333333333333333
43,1,76,316,6,101,9,0,0,100.0,-7,7,8,10,1,80,0,1,1,81,70,1,1,1,100,0.047619047619047616,0.3333333333333333
44,0,79,421,3,66,15,0,0,100.0,-7,7,8,15,1,40,0,0,0,46,63,2,2,2,50,0.0,0.37037037037037035
45,1,55,37,6,24,6,1,0,86.0,1,3,5,7,2,57,0,0,0,13,-8,2,1,1,75,0.0,0.3333333333333333
46,0,72,403,31,180,23,0,0,87.0,56,6,6,23,0,17,0,1,1,53,-8,9,1,3,83,0.047619047619047616,0.3333333333333333
47,0,89,209,1,96,22,0,0,100.0,-7,7,8,26,3,38,5,1,1,18,59,2,3,0,71,0.047619047619047616,0.4074074074074074
48,1,59,123,4,66,32,1,1,88.0,6,4,6,32,2,31,-7,0,0,36,76,5,4,2,56,0.0,0.4444444444444444
49,1,71,229,4,89,47,1,1,92.0,3,0,2,21,3,25,-7,0,0,24,88,10,4,1,63,0.0,0.4444444444444444
50,1,56,79,35,56,6,3,0,67.0,3,4,5,9,0,33,0,0,0,54,-8,1,1,0,100,0.0,0.3333333333333333
52,1,63,213,18,98,4,2,2,100.0,-7,6,8,4,0,50,-7,0,0,114,-8,1,1,-8,100,0.0,0.3333333333333333
53,1,63,271,2,51,20,0,0,100.0,-7,7,8,26,2,32,-7,1,1,88,94,9,2,3,100,0.047619047619047616,0.37037037037037035
54,0,85,449,5,71,33,0,0,100.0,-7,7,8,23,2,12,5,2,2,1,93,2,2,0,21,0.09523809523809523,0.37037037037037035
55,0,68,90,4,52,14,2,1,88.0,62,6,2,16,1,75,-7,1,1,55,78,2,11,1,93,0.047619047619047616,0.7037037037037037
56,0,80,162,5,58,41,0,0,98.0,-8,6,6,42,5,60,0,0,0,6,90,3,10,0,64,0.0,0.6666666666666666
57,1,68,155,13,48,10,2,2,90.0,8,4,6,12,0,40,0,0,0,59,49,3,4,0,100,0.0,0.4444444444444444
58,0,81,133,15,63,20,0,0,100.0,-7,7,8,20,0,35,11,0,0,5,-8,1,1,0,25,0.0,0.3333333333333333
59,0,86,333,6,93,32,0,0,100.0,-7,7,8,32,3,22,0,0,0,6,-8,6,2,0,44,0.0,0.37037037037037035
60,0,78,165,7,52,8,0,0,100.0,-7,7,8,8,1,38,-7,1,1,53,91,2,2,0,80,0.047619047619047616,0.37037037037037035
61,0,77,68,11,31,7,0,0,100.0,-7,7,8,7,2,14,0,4,3,0,-8,0,-8,0,0,0.14285714285714285,0.0
63,0,82,368,6,106,23,0,0,,-7,6,6,23,2,22,0,1,1,8,-8,3,1,1,36,0.047619047619047616,0.3333333333333333
64,0,61,246,20,95,18,2,2,86.0,11,7,8,21,0,38,0,1,1,62,-8,5,1,2,88,0.047619047619047616,0.3333333333333333
65,1,74,319,2,83,24,1,0,88.0,9,4,4,28,3,37,-7,1,1,6,100,3,2,0,42,0.047619047619047616,0.37037037037037035
66,0,79,238,7,92,23,0,0,96.0,59,3,5,23,1,22,0,0,0,31,49,8,3,0,61,0.0,0.4074074074074074
67,0,67,212,16,87,24,2,0,86.0,13,6,6,29,0,55,0,1,1,41,92,6,2,0,100,0.047619047619047616,0.37037037037037035
68,0,68,50,1,81,29,0,0,94.0,44,6,5,1,2,22,0,2,2,43,75,2,3,2,42,0.09523809523809523,0.4074074074074074
69,1,59,183,2,73,28,1,1,90.0,2,6,6,31,2,32,0,10,10,66,62,5,3,1,57,0.47619047619047616,0.4074074074074074
70,1,67,190,17,83,29,1,0,93.0,74,0,2,28,0,27,17,0,0,72,-8,7,1,3,67,0.0,0.3333333333333333
71,1,50,239,10,76,21,4,3,72.0,2,6,5,9,2,36,0,2,2,58,94,5,3,0,80,0.09523809523809523,0.4074074074074074
72,1,56,252,7,50,13,1,1,86.0,3,0,2,14,3,50,0,4,4,67,68,3,3,2,60,0.19047619047619047,0.4074074074074074
73,1,68,231,2,18,6,1,1,,-7,0,2,20,4,0,-7,2,2,8,-8,2,-8,0,50,0.09523809523809523,0.0
74,0,75,146,14,73,8,0,0,75.0,5,7,8,57,0,38,22,0,0,0,-8,0,1,-8,50,0.0,0.3333333333333333
75,1,78,294,11,78,28,1,1,97.0,59,4,6,29,1,24,2,1,1,6,-8,4,-8,0,33,0.047619047619047616,0.0
76,0,66,220,28,119,6,0,0,57.0,1,6,3,7,0,0,7,0,0,17,-8,3,-8,1,75,0.0,0.0
77,1,65,140,14,49,12,1,1,,-7,4,6,12,0,58,0,0,0,66,-8,2,3,0,100,0.0,0.4074074074074074
78,1,74,158,8,88,37,0,0,97.0,24,6,8,4,1,42,0,2,2,37,56,3,4,1,78,0.09523809523809523,0.4444444444444444
79,1,62,335,2,26,19,0,0,,-7,6,6,7,7,29,0,2,2,49,-8,6,4,4,67,0.09523809523809523,0.4444444444444444
80,0,83,195,4,94,18,0,0,100.0,-7,7,8,18,2,28,4,1,1,25,56,2,2,0,44,0.047619047619047616,0.37037037037037035
81,1,84,163,4,56,36,0,0,100.0,-7,7,8,36,2,17,12,0,0,14,88,3,2,1,46,0.0,0.37037037037037035
82,0,61,270,2,38,17,0,0,100.0,-7,7,8,22,7,9,0,1,1,42,71,8,2,4,59,0.047619047619047616,0.37037037037037035
83,1,74,257,7,93,33,0,0,92.0,23,7,8,38,2,32,0,2,2,1,-8,4,1,0,33,0.09523809523809523,0.3333333333333333
84,1,63,191,23,68,12,1,1,92.0,4,6,6,8,0,58,4,1,1,4,40,1,3,0,67,0.047619047619047616,0.4074074074074074
85,1,69,78,5,40,16,0,0,,-7,0,6,16,1,25,0,2,2,69,-8,3,2,2,83,0.09523809523809523,0.37037037037037035
86,1,86,149,3,69,14,0,0,100.0,-7,7,8,14,2,57,-8,0,0,15,91,1,2,0,43,0.0,0.37037037037037035
87,0,72,113,10,77,21,5,5,73.0,36,7,8,26,1,15,0,2,2,4,-8,2,1,0,60,0.09523809523809523,0.3333333333333333
88,1,67,54,1,20,12,0,0,,-7,6,2,13,4,38,0,1,1,53,98,5,2,1,70,0.047619047619047616,0.37037037037037035
89,1,68,118,7,64,11,0,0,86.0,9,7,8,14,1,64,0,1,1,27,65,1,5,0,100,0.047619047619047616,0.48148148148148145
90,1,66,273,2,149,8,2,0,83.0,19,4,6,17,3,33,1,1,1,44,84,4,2,2,70,0.047619047619047616,0.37037037037037035
91,0,64,185,8,96,31,2,0,88.0,17,6,5,33,1,21,16,0,0,73,92,8,3,6,73,0.0,0.4074074074074074
92,1,71,214,18,127,10,1,0,64.0,14,6,5,11,0,18,-7,0,0,51,81,3,1,2,57,0.0,0.3333333333333333
93,0,83,108,17,69,8,0,0,,-7,6,5,8,0,63,4,1,1,21,72,1,1,0,67,0.047619047619047616,0.3333333333333333
94,1,65,80,11,53,12,1,1,85.0,21,7,8,14,1,38,13,0,0,0,85,0,2,-8,67,0.0,0.37037037037037035
95,1,57,23,8,56,4,2,1,67.0,16,6,2,1,1,33,1,2,2,92,75,1,1,-8,67,0.09523809523809523,0.3333333333333333
96,1,85,211,5,73,19,0,0,,-7,6,4,33,4,11,0,1,1,17,-8,3,1,0,33,0.047619047619047616,0.3333333333333333
97,0,68,261,2,63,13,0,0,86.0,25,7,8,14,5,36,0,2,2,32,95,7,3,0,83,0.09523809523809523,0.4074074074074074
98,1,68,74,3,32,14,1,1,93.0,30,6,6,15,4,40,0,0,0,58,32,2,5,1,64,0.0,0.48148148148148145
99,1,77,426,9,124,19,0,0,95.0,18,6,3,14,1,50,-7,0,0,46,-8,3,1,1,57,0.0,0.3333333333333333
100,0,79,305,9,121,12,1,0,69.0,9,6,6,16,1,19,-7,0,0,6,-8,6,1,0,64,0.0,0.3333333333333333
101,1,92,407,7,142,21,0,0,,-7,4,5,21,1,48,-8,0,0,0,-8,1,2,0,33,0.0,0.37037037037037035
103,0,75,262,1,82,28,1,0,83.0,13,7,8,31,3,20,-7,3,3,9,100,5,1,0,47,0.14285714285714285,0.3333333333333333
104,0,72,206,6,65,43,0,0,100.0,-7,7,8,44,1,34,0,1,1,66,60,7,3,4,91,0.047619047619047616,0.4074074074074074
105,1,74,-8,3,93,19,0,0,90.0,33,6,5,21,3,43,-7,2,2,34,78,4,3,1,64,0.09523809523809523,0.4074074074074074
106,0,77,176,23,87,13,0,0,100.0,-7,7,8,13,0,31,0,1,1,51,-8,3,1,2,57,0.047619047619047616,0.3333333333333333
107,1,61,132,8,69,3,1,1,80.0,12,6,6,5,2,100,0,0,0,-8,94,-8,2,-8,100,0.0,0.37037037037037035
108,0,76,374,9,124,25,0,0,88.0,21,7,8,23,2,24,8,0,0,4,-8,5,3,0,57,0.0,0.4074074074074074
109,1,61,187,3,72,28,1,0,97.0,1,6,2,30,2,57,10,0,0,32,53,6,4,1,77,0.0,0.4444444444444444
110,0,58,165,8,79,27,0,0,96.0,19,6,6,27,1,37,4,1,1,85,78,9,5,5,100,0.047619047619047616,0.48148148148148145
111,0,58,183,11,36,30,0,0,,-7,4,5,32,3,17,-7,8,7,87,-8,15,2,10,81,0.3333333333333333,0.37037037037037035
112,1,72,304,6,83,27,0,0,93.0,55,6,6,27,5,33,0,2,2,34,90,6,3,1,69,0.09523809523809523,0.4074074074074074
113,1,87,326,7,111,26,0,0,100.0,-7,7,8,30,1,40,0,0,0,12,89,3,2,0,56,0.0,0.37037037037037035
114,0,78,249,7,86,37,0,0,,-7,5,6,54,5,42,2,4,4,41,84,4,6,0,79,0.19047619047619047,0.5185185185185185
115,0,69,154,3,63,23,1,0,96.0,25,7,8,27,5,33,3,1,1,61,-8,3,1,1,67,0.047619047619047616,0.3333333333333333
116,0,67,296,1,68,20,0,0,100.0,-7,7,8,22,5,27,0,7,7,64,-8,7,1,2,80,0.3333333333333333,0.3333333333333333
117,1,83,115,1,60,19,0,0,,-7,6,5,21,3,29,1,4,4,8,5,3,2,0,45,0.19047619047619047,0.37037037037037035
118,0,59,261,7,158,16,0,0,79.0,3,7,8,19,1,21,-7,0,0,76,86,10,2,4,100,0.0,0.37037037037037035
119,1,75,116,2,61,41,0,0,100.0,-7,7,8,42,1,17,0,2,1,34,-8,2,-8,1,22,0.047619047619047616,0.0
120,1,64,150,2,45,12,1,1,86.0,3,4,6,14,4,21,0,2,2,9,-8,4,1,-8,56,0.09523809523809523,0.3333333333333333
121,0,74,-8,2,65,35,0,0,100.0,-7,7,8,0,2,28,0,1,1,19,-8,4,3,1,70,0.047619047619047616,0.4074074074074074
122,1,80,139,8,67,35,0,0,97.0,29,0,2,35,2,29,0,3,3,5,87,4,3,0,54,0.14285714285714285,0.4074074074074074
123,0,54,39,6,19,6,7,7,100.0,-7,7,8,15,1,75,0,2,2,92,86,2,3,2,100,0.09523809523809523,0.4074074074074074
124,0,85,207,8,102,21,0,0,,-7,6,6,21,1,29,8,0,0,0,-8,2,1,0,67,0.0,0.3333333333333333
125,1,91,225,4,121,12,0,0,100.0,-7,0,8,28,2,25,-8,0,0,3,-8,2,1,0,60,0.0,0.3333333333333333
127,0,64,111,3,35,15,2,2,100.0,-7,7,8,17,2,33,0,1,1,70,97,4,3,0,78,0.047619047619047616,0.4074074074074074
128,0,60,255,1,92,29,0,0,77.0,2,7,8,34,5,19,5,3,3,14,-8,5,1,1,60,0.14285714285714285,0.3333333333333333
129,0,79,275,0,91,13,0,0,86.0,6,6,6,14,3,29,6,0,0,0,-8,1,1,0,33,0.0,0.3333333333333333
130,1,56,137,4,65,38,1,0,80.0,2,7,8,41,2,27,0,1,1,64,48,7,2,2,69,0.047619047619047616,0.37037037037037035
131,0,62,187,2,68,27,7,5,79.0,32,4,6,33,4,24,2,3,3,4,80,1,5,0,32,0.14285714285714285,0.48148148148148145
132,0,82,299,1,112,12,0,0,,-7,4,6,13,3,8,0,1,1,34,-8,4,1,1,45,0.047619047619047616,0.3333333333333333
133,1,86,379,8,176,24,0,0,,-7,4,5,27,1,22,0,0,0,0,-8,2,-8,0,20,0.0,0.0
134,0,73,77,5,44,15,0,0,,-7,6,3,15,1,67,14,0,0,68,77,3,4,2,100,0.0,0.4444444444444444
135,1,78,169,2,53,21,0,0,95.0,24,7,8,22,1,45,-7,0,0,0,78,2,1,0,43,0.0,0.3333333333333333
136,1,70,92,11,57,16,0,0,88.0,16,7,8,16,1,44,0,0,0,37,61,1,3,0,67,0.0,0.4074074074074074
137,1,63,131,11,61,8,2,1,60.0,17,7,8,10,1,30,3,2,1,78,45,3,1,2,80,0.047619047619047616,0.3333333333333333
138,1,61,197,5,54,40,1,1,95.0,3,6,6,23,1,15,4,2,2,60,39,16,2,7,67,0.09523809523809523,0.37037037037037035
139,0,67,118,6,37,23,2,2,88.0,70,6,6,26,5,42,0,0,0,31,70,5,3,1,67,0.0,0.4074074074074074
140,1,66,150,14,80,17,3,1,67.0,43,6,3,24,0,63,0,0,0,-8,61,-8,2,-8,100,0.0,0.37037037037037035
141,1,75,169,2,59,21,0,0,,-7,0,2,22,4,36,-7,4,4,43,112,4,6,0,83,0.19047619047619047,0.5185185185185185
142,1,58,120,8,67,22,1,0,74.0,6,6,2,23,1,26,0,2,2,87,79,7,3,4,92,0.09523809523809523,0.4074074074074074
143,1,73,211,11,108,26,0,0,97.0,8,6,5,29,1,14,0,0,0,15,-8,6,1,0,47,0.0,0.3333333333333333
144,1,77,330,8,72,16,0,0,100.0,-7,7,8,16,3,56,0,0,0,0,-8,0,3,0,43,0.0,0.4074074074074074
145,1,60,342,2,77,29,4,0,72.0,25,3,5,36,4,58,0,1,1,47,88,3,4,1,88,0.047619047619047616,0.4444444444444444
146,1,56,172,4,64,16,2,0,68.0,5,4,6,19,3,37,0,0,0,46,86,4,2,1,55,0.0,0.37037037037037035
147,1,67,279,5,60,35,0,0,100.0,-7,7,8,36,4,43,2,2,2,93,90,1,4,-8,100,0.09523809523809523,0.4444444444444444
148,1,61,282,2,86,40,1,1,95.0,1,5,5,42,4,14,0,3,3,40,100,8,2,2,55,0.14285714285714285,0.37037037037037035
149,0,77,275,0,63,15,1,0,89.0,29,4,5,18,4,22,0,2,2,18,-8,4,1,0,56,0.09523809523809523,0.3333333333333333
151,0,74,277,30,123,24,0,0,88.0,12,7,8,24,0,25,0,0,0,45,-8,12,1,2,93,0.0,0.3333333333333333
152,0,66,244,11,128,30,0,0,93.0,4,0,2,10,1,43,2,1,1,23,74,8,4,2,100,0.047619047619047616,0.4444444444444444
153,1,72,242,6,68,15,0,0,87.0,5,6,5,16,1,73,7,0,0,0,8,0,2,0,50,0.0,0.37037037037037035
154,0,76,140,4,54,15,0,0,100.0,-7,7,8,15,4,53,0,4,4,14,71,3,3,1,67,0.19047619047619047,0.4074074074074074
155,1,71,386,2,86,30,1,0,97.0,10,6,6,33,2,24,0,0,0,24,60,5,5,1,53,0.0,0.48148148148148145
157,1,79,439,15,142,17,2,2,89.0,68,4,6,38,0,11,15,0,0,3,-8,5,-8,0,50,0.0,0.0
158,0,64,260,1,61,17,1,1,95.0,6,4,6,23,5,26,-7,0,0,68,88,3,2,1,71,0.0,0.37037037037037035
159,1,75,113,97,105,2,0,0,100.0,-7,7,8,2,0,0,0,0,0,101,-8,2,-8,1,100,0.0,0.0
160,0,67,222,5,71,21,1,1,82.0,4,3,5,22,1,14,0,1,1,37,-8,5,1,0,46,0.047619047619047616,0.3333333333333333
161,0,57,32,3,14,11,0,0,100.0,-7,7,8,11,6,36,-7,0,0,73,89,6,3,2,100,0.0,0.4074074074074074
162,1,91,397,36,140,21,0,0,,-7,6,3,21,0,19,0,0,0,3,-8,1,1,0,22,0.0,0.3333333333333333
163,1,68,116,1,51,20,0,0,,-7,2,4,21,2,24,0,2,2,50,-8,6,1,2,64,0.09523809523809523,0.3333333333333333
164,1,57,155,0,42,32,0,0,97.0,0,7,8,34,10,18,0,1,1,40,90,7,4,1,50,0.047619047619047616,0.4444444444444444
165,0,66,176,7,61,24,0,0,92.0,0,4,4,24,1,33,0,0,0,18,92,4,2,1,58,0.0,0.37037037037037035
166,1,63,282,2,112,20,0,0,71.0,12,7,8,21,1,29,0,1,0,51,-8,7,2,3,77,0.0,0.37037037037037035
167,0,76,-8,2,17,7,0,0,100.0,-7,7,8,0,1,33,2,2,2,9,73,3,2,0,63,0.09523809523809523,0.37037037037037035
168,1,73,-8,1,104,12,1,0,93.0,5,7,8,0,1,43,-7,1,1,0,100,1,2,0,50,0.047619047619047616,0.37037037037037035
169,0,63,213,6,86,24,0,0,96.0,64,4,6,24,2,29,0,1,1,75,79,7,2,5,60,0.047619047619047616,0.37037037037037035
170,0,88,171,17,91,15,0,0,,-7,4,6,16,0,50,17,0,0,0,-8,0,1,0,25,0.0,0.3333333333333333
171,1,89,270,3,98,12,0,0,,-7,6,6,12,2,25,13,0,0,9,6,2,2,0,67,0.0,0.37037037037037035
172,0,65,208,3,84,20,0,0,85.0,18,7,8,20,3,20,0,0,0,55,92,8,2,2,67,0.0,0.37037037037037035
173,1,69,105,3,30,17,0,0,,-7,3,5,17,7,12,4,1,1,32,100,6,1,2,64,0.047619047619047616,0.3333333333333333
174,0,79,168,9,58,21,0,0,90.0,76,6,6,21,3,38,0,0,0,27,88,5,3,0,62,0.0,0.4074074074074074
175,0,74,219,13,90,30,0,0,100.0,-7,7,8,30,0,33,0,2,2,28,-8,9,2,1,79,0.09523809523809523,0.37037037037037035
176,0,77,276,41,145,19,0,0,100.0,-7,7,8,19,0,21,-7,1,1,59,36,6,2,1,62,0.047619047619047616,0.37037037037037035
177,1,70,182,2,34,7,0,0,,-7,6,6,8,5,13,0,2,2,57,-8,4,-8,1,100,0.09523809523809523,0.0
178,1,92,262,4,161,10,0,0,100.0,-7,7,8,33,1,10,-8,0,0,0,-8,1,-8,0,25,0.0,0.0
179,0,84,188,12,78,30,0,0,,-7,6,6,30,0,21,2,1,1,0,-8,1,2,1,75,0.047619047619047616,0.37037037037037035
180,0,76,149,15,62,13,0,0,100.0,-7,7,8,13,0,38,0,0,0,0,55,0,3,0,75,0.0,0.4074074074074074
181,1,60,160,3,48,16,0,0,81.0,5,7,8,16,4,31,4,2,2,65,74,2,3,1,63,0.09523809523809523,0.4074074074074074
182,1,72,86,3,51,27,0,0,100.0,-7,7,8,15,5,15,2,1,1,60,-8,5,1,2,50,0.047619047619047616,0.3333333333333333
183,0,77,158,23,104,20,0,0,100.0,-7,7,8,22,0,32,0,1,1,72,-8,1,1,1,50,0.047619047619047616,0.3333333333333333
184,0,81,163,22,55,24,0,0,92.0,16,7,8,24,0,25,0,0,0,0,-8,1,2,0,33,0.0,0.37037037037037035
185,0,79,180,7,99,26,0,0,100.0,-7,7,8,10,2,23,2,1,1,28,34,4,3,1,58,0.047619047619047616,0.4074074074074074
187,0,82,77,10,42,8,0,0,,-7,4,6,8,1,25,20,0,0,3,84,2,2,0,57,0.0,0.37037037037037035
188,0,83,414,4,135,26,0,0,100.0,-7,7,8,24,2,19,-8,0,0,13,8,6,1,0,47,0.0,0.3333333333333333
189,0,77,242,2,86,14,0,0,93.0,17,7,8,15,1,33,-7,1,1,26,-8,3,2,0,83,0.047619047619047616,0.37037037037037035
191,1,54,175,4,58,42,0,0,90.0,1,6,6,42,3,24,1,2,2,41,-8,7,2,5,60,0.09523809523809523,0.37037037037037035
192,0,70,228,2,49,11,0,0,100.0,-7,7,8,12,2,0,8,0,0,57,-8,9,-8,6,90,0.0,0.0
193,0,80,175,11,73,15,0,0,100.0,-7,7,8,17,1,53,11,0,0,32,84,3,4,0,88,0.0,0.4444444444444444
194,0,78,202,1,102,12,0,0,86.0,17,7,8,39,2,57,-7,0,0,16,101,3,4,0,89,0.0,0.4444444444444444
195,0,81,112,2,55,17,0,0,100.0,-7,7,8,19,1,47,0,1,1,24,-8,1,2,1,33,0.047619047619047616,0.37037037037037035
196,0,76,241,9,80,48,0,0,,-7,6,6,49,2,20,0,2,2,22,-8,9,-8,1,37,0.09523809523809523,0.0
197,0,70,419,6,79,15,2,2,90.0,2,6,7,21,3,29,0,1,1,44,-8,2,1,1,38,0.047619047619047616,0.3333333333333333
198,0,69,301,32,178,5,1,0,56.0,2,4,6,9,0,44,-8,0,0,75,40,2,2,1,80,0.0,0.37037037037037035
199,1,58,94,7,45,7,2,2,88.0,-8,7,8,9,1,63,0,1,1,81,-8,2,1,0,75,0.047619047619047616,0.3333333333333333
200,1,61,395,30,103,8,0,0,73.0,2,7,8,11,0,18,-8,0,0,79,-8,5,-8,2,100,0.0,0.0
201,1,74,66,6,36,10,0,0,,-7,6,6,10,1,40,0,3,0,41,94,2,1,1,75,0.0,0.3333333333333333
202,1,79,288,4,79,44,0,0,100.0,-7,7,8,47,4,28,11,0,0,27,93,7,2,1,53,0.0,0.37037037037037035
203,0,61,197,40,81,21,2,2,79.0,9,5,8,24,0,46,0,1,1,80,24,4,2,2,78,0.047619047619047616,0.37037037037037035
